City,Price,Price_clean
San Fernando,"₱ 1,977,500",1977500.0
San Fernando,"₱ 16,000,000",16000000.0
San Fernando,"₱ 2,491,600",2491600.0
San Fernando,"₱ 10,000,000",10000000.0
San Fernando,"₱ 999,000",999000.0
San Fernando,₱ 2,2.0
San Fernando,₱ 3,3.0
San Fernando,₱ 1,1.0
San Fernando,"₱ 45,000,000",45000000.0
San Fernando,"₱ 20,000,000",20000000.0
San Fernando,"₱ 29,000,000",29000000.0
San Fernando,"₱ 19,000,000",19000000.0
San Fernando,"₱ 220,000,000",220000000.0
San Fernando,"₱ 13,000,000",13000000.0
San Fernando,"₱ 3,200,000",3200000.0
San Fernando,"₱ 5,495,679",5495679.0
San Fernando,"₱ 3,219,220",3219220.0
San Fernando,"₱ 7,743,160",7743160.0
