race_name,year,Total_Entries,Race_Complexity_Score,Safety_Index,Accident,Collision,Mechanical or Physical Fault,Disqualification,Behind on Laps,Damage Related,Finish
British Grand Prix,2020,20.0,0.06000000000000001,0.94,1.0,1.0,1.0,0.0,1.0,0.0,16.0
Eifel Grand Prix,2020,20.0,0.08,0.92,0.0,1.0,4.0,0.0,0.0,0.0,15.0
Emilia Romagna Grand Prix,2020,19.0,0.06842105263157894,0.9315789473684211,1.0,0.0,3.0,0.0,0.0,0.0,15.0
Hungarian Grand Prix,2020,20.0,0.085,0.915,0.0,0.0,1.0,0.0,14.0,0.0,5.0
Italian Grand Prix,2020,20.0,0.06499999999999999,0.935,1.0,0.0,3.0,0.0,0.0,0.0,16.0
Portuguese Grand Prix,2020,20.0,0.095,0.905,0.0,1.0,0.0,0.0,15.0,0.0,4.0
Russian Grand Prix,2020,20.0,0.08,0.92,1.0,1.0,0.0,0.0,8.0,0.0,10.0
Sakhir Grand Prix,2020,20.0,0.05500000000000001,0.945,1.0,1.0,1.0,0.0,0.0,0.0,17.0
Spanish Grand Prix,2020,20.0,0.095,0.905,0.0,0.0,1.0,0.0,16.0,0.0,3.0
Styrian Grand Prix,2020,20.0,0.1,0.9,0.0,2.0,1.0,0.0,9.0,0.0,8.0
Turkish Grand Prix,2020,20.0,0.1,0.9,0.0,2.0,2.0,0.0,6.0,0.0,10.0
Tuscan Grand Prix,2020,20.0,0.15000000000000002,0.85,0.0,6.0,2.0,0.0,0.0,0.0,12.0
Abu Dhabi Grand Prix,2021,19.0,0.1,0.9,1.0,0.0,4.0,0.0,3.0,0.0,11.0
Austrian Grand Prix,2021,20.0,0.085,0.915,0.0,2.0,0.0,0.0,9.0,0.0,9.0
Azerbaijan Grand Prix,2021,20.0,0.06999999999999999,0.93,2.0,0.0,2.0,0.0,0.0,0.0,16.0
Bahrain Grand Prix,2021,20.0,0.09,0.91,1.0,0.0,3.0,0.0,5.0,0.0,11.0
Belgian Grand Prix,2021,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
British Grand Prix,2021,20.0,0.06999999999999999,0.93,0.0,1.0,1.0,0.0,7.0,0.0,11.0
Dutch Grand Prix,2021,20.0,0.11499999999999999,0.885,0.0,0.0,3.0,0.0,14.0,0.0,3.0
Emilia Romagna Grand Prix,2021,20.0,0.09000000000000001,0.91,0.0,3.0,1.0,0.0,3.0,0.0,13.0
French Grand Prix,2021,20.0,0.045,0.955,0.0,0.0,0.0,0.0,9.0,0.0,11.0
Hungarian Grand Prix,2021,20.0,0.15000000000000002,0.85,0.0,6.0,0.0,1.0,4.0,0.0,9.0
Italian Grand Prix,2021,20.0,0.08499999999999999,0.915,0.0,2.0,3.0,0.0,0.0,0.0,15.0
Mexico City Grand Prix,2021,20.0,0.10500000000000001,0.895,0.0,2.0,0.0,0.0,13.0,0.0,5.0
Monaco Grand Prix,2021,20.0,0.085,0.915,0.0,0.0,2.0,0.0,11.0,0.0,7.0
Portuguese Grand Prix,2021,20.0,0.06000000000000001,0.94,0.0,1.0,0.0,0.0,8.0,0.0,11.0
Qatar Grand Prix,2021,20.0,0.08499999999999999,0.915,0.0,0.0,1.0,0.0,10.0,1.0,8.0
Russian Grand Prix,2021,20.0,0.06999999999999999,0.93,1.0,0.0,1.0,0.0,7.0,0.0,11.0
Saudi Arabian Grand Prix,2021,20.0,0.11499999999999999,0.885,1.0,4.0,0.0,0.0,3.0,0.0,12.0
Spanish Grand Prix,2021,20.0,0.07500000000000001,0.925,0.0,0.0,1.0,0.0,12.0,0.0,7.0
Styrian Grand Prix,2021,20.0,0.10500000000000001,0.895,0.0,1.0,1.0,0.0,14.0,0.0,4.0
São Paulo Grand Prix,2021,20.0,0.095,0.905,0.0,1.0,1.0,0.0,12.0,0.0,6.0
Turkish Grand Prix,2021,20.0,0.05500000000000001,0.945,0.0,0.0,0.0,0.0,11.0,0.0,9.0
United States Grand Prix,2021,20.0,0.09,0.91,0.0,0.0,3.0,0.0,9.0,0.0,8.0
Abu Dhabi Grand Prix,2022,20.0,0.08,0.92,0.0,1.0,2.0,0.0,6.0,0.0,11.0
Australian Grand Prix,2022,20.0,0.08,0.92,2.0,0.0,1.0,0.0,5.0,0.0,12.0
Austrian Grand Prix,2022,20.0,0.11500000000000002,0.885,0.0,1.0,1.0,0.0,12.0,1.0,5.0
Azerbaijan Grand Prix,2022,20.0,0.1,0.9,0.0,0.0,5.0,0.0,5.0,0.0,10.0
Bahrain Grand Prix,2022,20.0,0.045,0.955,0.0,0.0,3.0,0.0,0.0,0.0,17.0
Belgian Grand Prix,2022,20.0,0.05500000000000001,0.945,1.0,1.0,0.0,0.0,3.0,0.0,15.0
British Grand Prix,2022,20.0,0.11000000000000001,0.89,0.0,4.0,2.0,0.0,0.0,0.0,14.0
Canadian Grand Prix,2022,20.0,0.05,0.95,1.0,0.0,2.0,0.0,0.0,0.0,17.0
Dutch Grand Prix,2022,20.0,0.034999999999999996,0.965,0.0,0.0,2.0,0.0,1.0,0.0,17.0
Emilia Romagna Grand Prix,2022,20.0,0.085,0.915,0.0,2.0,0.0,0.0,9.0,0.0,9.0
French Grand Prix,2022,20.0,0.085,0.915,1.0,2.0,0.0,0.0,1.0,1.0,15.0
Hungarian Grand Prix,2022,20.0,0.07500000000000001,0.925,0.0,0.0,1.0,0.0,12.0,0.0,7.0
Italian Grand Prix,2022,20.0,0.08,0.92,0.0,0.0,4.0,0.0,4.0,0.0,12.0
Japanese Grand Prix,2022,20.0,0.034999999999999996,0.965,1.0,0.0,1.0,0.0,0.0,0.0,18.0
Mexico City Grand Prix,2022,20.0,0.095,0.905,0.0,1.0,1.0,0.0,12.0,0.0,6.0
Miami Grand Prix,2022,20.0,0.08499999999999999,0.915,0.0,2.0,3.0,0.0,0.0,0.0,15.0
Monaco Grand Prix,2022,20.0,0.065,0.935,1.0,0.0,2.0,0.0,3.0,0.0,14.0
Saudi Arabian Grand Prix,2022,20.0,0.12,0.88,1.0,1.0,5.0,0.0,1.0,0.0,12.0
Singapore Grand Prix,2022,20.0,0.12000000000000002,0.88,1.0,3.0,2.0,0.0,2.0,0.0,12.0
Spanish Grand Prix,2022,20.0,0.08,0.92,0.0,0.0,2.0,0.0,10.0,0.0,8.0
São Paulo Grand Prix,2022,20.0,0.06000000000000001,0.94,0.0,2.0,1.0,0.0,1.0,0.0,16.0
United States Grand Prix,2022,20.0,0.06000000000000001,0.94,1.0,2.0,0.0,0.0,0.0,0.0,17.0
Abu Dhabi Grand Prix,2023,20.0,0.025,0.975,0.0,0.0,1.0,0.0,2.0,0.0,17.0
Australian Grand Prix,2023,20.0,0.155,0.845,2.0,5.0,1.0,0.0,0.0,0.0,12.0
Austrian Grand Prix,2023,20.0,0.05500000000000001,0.945,0.0,0.0,1.0,0.0,8.0,0.0,11.0
Azerbaijan Grand Prix,2023,20.0,0.045,0.955,1.0,0.0,1.0,0.0,2.0,0.0,16.0
Bahrain Grand Prix,2023,20.0,0.075,0.925,0.0,0.0,3.0,0.0,6.0,0.0,11.0
Belgian Grand Prix,2023,20.0,0.04,0.96,0.0,2.0,0.0,0.0,0.0,0.0,18.0
British Grand Prix,2023,20.0,0.05,0.95,0.0,1.0,2.0,0.0,0.0,0.0,17.0
Canadian Grand Prix,2023,20.0,0.05,0.95,0.0,0.0,2.0,0.0,4.0,0.0,14.0
Dutch Grand Prix,2023,20.0,0.06000000000000001,0.94,2.0,0.0,0.0,0.0,0.0,1.0,17.0
Hungarian Grand Prix,2023,20.0,0.095,0.905,0.0,2.0,1.0,0.0,8.0,0.0,9.0
Italian Grand Prix,2023,20.0,0.04,0.96,0.0,0.0,2.0,0.0,2.0,0.0,16.0
Japanese Grand Prix,2023,20.0,0.12000000000000002,0.88,0.0,4.0,1.0,0.0,5.0,0.0,10.0
Las Vegas Grand Prix,2023,20.0,0.05,0.95,1.0,0.0,2.0,0.0,0.0,0.0,17.0
Mexico City Grand Prix,2023,20.0,0.09000000000000001,0.91,1.0,2.0,2.0,0.0,0.0,0.0,15.0
Miami Grand Prix,2023,20.0,0.01,0.99,0.0,0.0,0.0,0.0,2.0,0.0,18.0
Monaco Grand Prix,2023,20.0,0.09,0.91,1.0,1.0,0.0,0.0,10.0,0.0,8.0
Qatar Grand Prix,2023,19.0,0.05789473684210527,0.9421052631578948,0.0,1.0,1.0,0.0,4.0,0.0,13.0
Saudi Arabian Grand Prix,2023,20.0,0.034999999999999996,0.965,0.0,0.0,2.0,0.0,1.0,0.0,17.0
Singapore Grand Prix,2023,20.0,0.08499999999999999,0.915,1.0,1.0,3.0,0.0,0.0,0.0,15.0
Spanish Grand Prix,2023,20.0,0.04,0.96,0.0,0.0,0.0,0.0,8.0,0.0,12.0
São Paulo Grand Prix,2023,20.0,0.125,0.875,0.0,2.0,4.0,0.0,5.0,0.0,9.0
United States Grand Prix,2023,20.0,0.09,0.91,0.0,1.0,1.0,2.0,3.0,1.0,12.0
Abu Dhabi Grand Prix,2024,20.0,0.1,0.9,0.0,2.0,2.0,0.0,6.0,0.0,10.0
Australian Grand Prix,2024,19.0,0.08947368421052633,0.9105263157894736,1.0,0.0,2.0,0.0,7.0,0.0,9.0
Austrian Grand Prix,2024,20.0,0.04,0.96,0.0,0.0,0.0,0.0,8.0,0.0,12.0
Azerbaijan Grand Prix,2024,20.0,0.06999999999999999,0.93,0.0,0.0,4.0,0.0,2.0,0.0,14.0
Bahrain Grand Prix,2024,20.0,0.05,0.95,0.0,0.0,0.0,0.0,10.0,0.0,10.0
Belgian Grand Prix,2024,20.0,0.025,0.975,0.0,0.0,1.0,1.0,0.0,0.0,18.0
British Grand Prix,2024,20.0,0.06000000000000001,0.94,0.0,0.0,2.0,0.0,6.0,0.0,12.0
Canadian Grand Prix,2024,20.0,0.1,0.9,2.0,2.0,1.0,0.0,1.0,0.0,14.0
Chinese Grand Prix,2024,20.0,0.045,0.955,0.0,0.0,3.0,0.0,0.0,0.0,17.0
Dutch Grand Prix,2024,20.0,0.06000000000000001,0.94,0.0,0.0,0.0,0.0,12.0,0.0,8.0
Emilia Romagna Grand Prix,2024,20.0,0.065,0.935,0.0,0.0,1.0,0.0,10.0,0.0,9.0
Hungarian Grand Prix,2024,20.0,0.05500000000000001,0.945,0.0,0.0,1.0,0.0,8.0,0.0,11.0
Italian Grand Prix,2024,20.0,0.045000000000000005,0.955,0.0,0.0,1.0,0.0,6.0,0.0,13.0
Japanese Grand Prix,2024,20.0,0.095,0.905,2.0,0.0,1.0,0.0,8.0,0.0,9.0
Las Vegas Grand Prix,2024,20.0,0.04,0.96,0.0,0.0,2.0,0.0,2.0,0.0,16.0
Mexico City Grand Prix,2024,20.0,0.1,0.9,0.0,2.0,1.0,0.0,9.0,0.0,8.0
Miami Grand Prix,2024,20.0,0.02,0.98,0.0,1.0,0.0,0.0,0.0,0.0,19.0
Monaco Grand Prix,2024,20.0,0.125,0.875,0.0,4.0,0.0,0.0,9.0,0.0,7.0
Qatar Grand Prix,2024,20.0,0.10500000000000001,0.895,2.0,3.0,0.0,0.0,1.0,0.0,14.0
Saudi Arabian Grand Prix,2024,20.0,0.065,0.935,1.0,0.0,1.0,0.0,6.0,0.0,12.0
Singapore Grand Prix,2024,20.0,0.09,0.91,1.0,0.0,1.0,0.0,11.0,0.0,7.0
Spanish Grand Prix,2024,20.0,0.045,0.955,0.0,0.0,0.0,0.0,9.0,0.0,11.0
São Paulo Grand Prix,2024,20.0,0.07999999999999999,0.92,2.0,0.0,2.0,1.0,0.0,0.0,15.0
United States Grand Prix,2024,20.0,0.05500000000000001,0.945,1.0,0.0,0.0,0.0,7.0,0.0,12.0
